0	9	1	69.8	80.0
0	2	0	36.9	728.0
0	1	0	47.2	728.0
0	7	0	73.5	728.0
1	9	0	23.6	728.0
1	2	0	24.4	728.0
1	3	0	39.2	728.0
2	1	0	24.4	728.0
2	7	0	36.6	728.0
2	0	0	36.9	728.0
3	14	1	29.7	1417.0
3	9	0	37.5	728.0
3	1	0	39.2	728.0
3	11	0	41.3	728.0
4	12	1	29.4	642.0
4	6	0	74.6	728.0
4	13	0	104.2	728.0
4	15	0	108.7	728.0
5	4	0	156.7	728.0
5	12	0	177.7	728.0
5	6	0	184.0	728.0
6	13	1	34.7	908.0
6	8	0	50.3	728.0
6	4	0	74.6	728.0
6	10	0	88.7	728.0
7	9	0	29.9	728.0
7	2	0	36.6	728.0
7	1	0	40.8	728.0
8	13	1	21.1	1078.0
8	10	0	38.5	728.0
8	6	0	50.3	728.0
8	11	0	52.6	728.0
9	1	1	23.6	164.0
9	7	0	29.9	728.0
9	3	0	37.5	728.0
9	2	0	39.0	728.0
10	14	1	26.2	173.0
10	8	0	38.5	728.0
10	11	0	39.9	728.0
10	3	0	52.3	728.0
11	14	1	40.9	1362.0
11	10	0	39.9	728.0
11	3	0	41.3	728.0
11	9	0	45.9	728.0
12	4	0	29.4	728.0
12	15	0	81.8	728.0
12	6	0	95.7	728.0
13	8	0	21.1	728.0
13	6	0	34.7	728.0
13	10	0	56.6	728.0
14	10	0	26.2	728.0
14	3	0	29.7	728.0
14	11	0	40.9	728.0
15	12	0	81.8	728.0
15	4	0	108.7	728.0
15	6	0	149.7	728.0
