1.0	24.0	14.0	15.0	16.0			
15.0	25.0	24.0					
3.0	4.0	30.0	31.0	32.0			
30.0							
10.0	25.0	31.0	30.0				
6.0	7.0	66.0					
66.0							
67.0	27.0	66.0					
9.0	10.0	30.0					
30.0							
30.0							
12.0	13.0	37.0					
37.0							
15.0	27.0	37.0					
15.0	16.0						
34.0							
							
18.0	35.0	33.0	34.0	36.0			
36.0	59.0	35.0					
20.0	21.0	28.0					
28.0							
29.0	28.0						
23.0	28.0	24.0	25.0	29.0			
25.0	29.0	28.0					
25.0							
							
27.0	37.0						
61.0	37.0						
29.0							
							
31.0	32.0						
							
							
34.0							
36.0							
36.0							
							
							
39.0	81.0	95.0	80.0	82.0			
80.0							
76.0	84.0	75.0	77.0				
42.0	43.0	66.0	51.0	52.0	67.0		
52.0	67.0	100.0	66.0				
66.0							
45.0	46.0	49.0	50.0				
50.0	49.0						
49.0							
48.0	58.0	59.0					
59.0	58.0						
50.0							
111.0							
52.0	99.0	100.0	101.0				
100.0							
54.0	84.0	60.0	61.0	62.0			
70.0	84.0						
56.0	57.0	70.0	71.0	87.0	88.0		
64.0	70.0	86.0					
70.0							
59.0							
							
61.0	62.0						
							
							
64.0	65.0	70.0					
70.0							
70.0							
67.0							
							
69.0	72.0						
72.0							
71.0							
							
88.0	93.0	92.0					
74.0	92.0						
93.0	92.0						
76.0	77.0	78.0	79.0				
							
							
79.0							
							
81.0	82.0						
							
							
86.0	85.0						
							
86.0							
							
88.0							
							
90.0	91.0	147.0					
95.0	121.0	147.0					
147.0							
93.0							
							
95.0	137.0	138.0					
138.0	137.0						
97.0	127.0						
128.0	143.0	154.0	127.0				
100.0	106.0						
100.0	101.0						
111.0							
							
103.0	181.0	104.0	105.0				
182.0	104.0	181.0					
105.0	140.0						
							
107.0	111.0	112.0					
111.0							
109.0	110.0	135.0	136.0				
135.0							
111.0	119.0	136.0	135.0				
112.0							
							
116.0	119.0	128.0	114.0	115.0			
115.0	116.0						
							
							
118.0	136.0	119.0					
119.0							
135.0							
121.0	147.0						
147.0							
123.0	144.0						
136.0	134.0	145.0	144.0				
125.0	126.0	154.0	127.0	128.0	129.0	148.0	149.0
154.0							
128.0	148.0	154.0					
128.0	129.0						
154.0							
							
131.0	132.0	142.0	143.0				
143.0	142.0						
142.0							
134.0	144.0	145.0	146.0	152.0	153.0		
136.0	145.0	153.0	144.0				
136.0							
							
138.0							
							
140.0	141.0	172.0					
145.0	172.0						
172.0							
143.0							
							
145.0	146.0						
							
							
							
149.0	150.0	151.0					
							
151.0							
							
153.0	172.0	173.0	174.0				
173.0							
							
156.0	157.0	158.0					
176.0	158.0	163.0	157.0				
158.0	176.0						
165.0							
160.0	178.0	161.0	163.0	162.0			
168.0	180.0	177.0	167.0	169.0			
							
163.0	183.0	184.0	185.0				
184.0							
165.0	166.0	170.0	171.0				
184.0	171.0	170.0					
170.0							
168.0	169.0	181.0	182.0				
173.0							
							
171.0							
184.0							
173.0	174.0						
							
							
178.0	187.0	186.0					
							
178.0	179.0	180.0					
180.0	184.0	179.0					
180.0							
187.0	184.0						
182.0							
							
184.0	185.0						
							
							
187.0							
							
