9001	5
9003	4
9005	1
9007	4
9009	10
9011	3
9013	3
9015	3
23001	3
23003	0
23005	4
23007	2
23009	3
23011	2
23013	0
23015	0
23017	4
23019	6
23021	0
23023	0
23025	9
23027	0
23029	0
23031	7
25001	3
25003	3
25005	9
25007	0
25009	4
25011	2
25013	2
25015	2
25017	9
25019	0
25021	5
25023	5
25025	0
25027	10
33001	0
33003	3
33005	5
33007	4
33009	9
33011	0
33013	3
33015	7
33017	0
33019	1
44001	0
44003	2
44005	1
44007	0
44009	2
50001	2
50003	0
50005	4
50007	3
50009	0
50011	2
50013	0
50015	0
50017	0
50019	1
50021	2
50023	2
50025	5
50027	3
