ng	1	182123200	162	41	125	50	36000	4	7.42	0.360345139	4146555	0.09	22
dfo	2	94283840	84	21	65	50	36000	4	7.42	0.257168923	4419555	0.09	25
solar	3	5725242	7	0	200	50	11000	0	0.0	0.0	332005	0.09	27
wind	4	30673406	42	0	200	50	33000	0	0.0	0.0	15000000	0.09	20
wind_offshore	5	347892000	131	0	200	50	67000	0	0.0	0.0	19692000	0.09	25
hydro	6	98503020	14	3	200	50	72000	0	0.0	0.0	100000000	0.09	64
coal	7	1248056792	361	88	225	50	100000	11	8.26	0.4739933	10000000	0.09	39
nuclear	8	1254019200	1119	394	200	50	36000	4	7.42	0.0	350000000	0.09	36
