88	solar	8.277	0.0	0.0	0.0	0.0	1
90	hydro	40.835	9.52804187	0.0	0.0	0.0	4
90	wind	6.0	0.0	0.0	0.0	0.0	1
93	hydro	21.022	8.908277083	0.0	0.0	0.0	4
95	hydro	36.318	10.136287241	0.0	0.0	0.0	3
95	solar	8.712	0.0	0.0	0.0	0.0	2
96	ng	23.241	7.489655172	6.604	4.60424	11.62	1
96	solar	28.802000000000003	0.0	0.0	0.0	0.0	6
97	solar	18.917	0.0	0.0	0.0	0.0	2
97	wind	5.711	0.0	0.0	0.0	0.0	2
98	dfo	197.641	55.662102644	21.96133333333333	10.689173333333336	98.82	6
98	ng	339.661	72.309045232	8.7324	6.447977	169.84	10
99	wind	4.111	0.0	0.0	0.0	0.0	1
100	solar	10.736	0.0	0.0	0.0	0.0	1
101	solar	11.078	0.0	0.0	0.0	0.0	1
102	dfo	9.546	2.6516987290000005	49.413	24.05064	4.7700000000000005	1
102	hydro	23.8	7.880000162	0.0	0.0	0.0	2
102	ng	435.266	86.55444463	6.282333333333333	4.77776	202.96	3
102	solar	26.244	0.0	0.0	0.0	0.0	4
103	dfo	20.035	4.37235657	16.471	8.01688	10.02	1
103	hydro	30.957	10.080000208	0.0	0.0	0.0	12
103	ng	4.987	2.408733322	5.468	4.57825	2.49	1
103	solar	9.885	0.0	0.0	0.0	0.0	1
104	dfo	630.0420000000001	187.2806422	98.826	48.10128	315.0	1
104	hydro	5.0	1.680000035	0.0	0.0	0.0	2
104	ng	245.493	39.904054756	18.547	14.063009999999998	122.76	1
105	solar	14.146	0.0	0.0	0.0	0.0	3
106	ng	17.125	4.845693987	6.800000000000001	4.58334	8.56	2
106	solar	8.521	0.0	0.0	0.0	0.0	1
107	dfo	16.735	7.259761853	16.471	8.01688	8.37	1
107	hydro	8.4	3.350000069	0.0	0.0	0.0	1
107	ng	1661.2529999999997	519.580713944	6.105857142857142	4.909115714285713	740.1099999999999	7
108	solar	4.886	0.0	0.0	0.0	0.0	2
109	dfo	21.57	5.668742615	148.239	72.15192	10.8	1
109	solar	7.839	0.0	0.0	0.0	0.0	1
111	ng	79.978	15.647357477	5.587	4.62809	39.98	2
112	hydro	15.999	3.790000078	0.0	0.0	0.0	1
112	solar	6.817	0.0	0.0	0.0	0.0	1
113	dfo	48.08399999999999	13.741692077	49.413	24.05064	24.059999999999995	2
113	solar	10.907	0.0	0.0	0.0	0.0	1
114	ng	1024.831	291.005094477	8.730599999999999	6.6914940000000005	467.17	5
114	wind	6.852	0.0	0.0	0.0	0.0	3
115	solar	9.544	0.0	0.0	0.0	0.0	1
116	solar	9.374	0.0	0.0	0.0	0.0	1
117	solar	26.246	0.0	0.0	0.0	0.0	4
118	ng	5.928	2.672188529	6.273	4.57959	2.96	1
118	solar	33.82900000000001	0.0	0.0	0.0	0.0	5
118	wind	9.253	0.0	0.0	0.0	0.0	2
119	dfo	16.5	4.98519361	82.355	40.0844	8.25	1
119	hydro	5.1	1.630000034	0.0	0.0	0.0	2
119	ng	2.635	0.461046612	6.52	4.5749	1.32	1
119	solar	9.374	0.0	0.0	0.0	0.0	1
121	dfo	48.909000000000006	15.261999349	16.471	8.01688	24.45	2
121	ng	165.112	67.65153352	24.758	18.51972	82.56	1
121	solar	5.6240000000000006	0.0	0.0	0.0	0.0	1
121	wind	17.133	0.0	0.0	0.0	0.0	1
122	ng	543.846	170.51197369	6.423500000000001	4.95838	242.58	2
122	solar	3.749	0.0	0.0	0.0	0.0	1
123	dfo	159.102	49.19195774000001	16.471	8.01688	79.56	3
124	coal	372.976	78.16313755	3.123	8.01688	135.75	1
124	dfo	560.392	72.64475984	16.471	8.01688	219.61	1
129	dfo	172.43099999999998	61.18942133	49.413	24.05064	86.22	1
129	ng	188.182	40.76028418	5.509	4.83913	94.09	1
129	solar	12.27	0.0	0.0	0.0	0.0	3
132	dfo	1372.99	449.8813137	16.471	8.01688	486.1	2
132	solar	29.823000000000004	0.0	0.0	0.0	0.0	7
132	wind	11.194	0.0	0.0	0.0	0.0	3
132	wind_offshore	1.0	0.0	0.0	0.0	0.0	1
133	ng	167.482	42.20928781	11.298	9.3808	83.74	1
134	ng	543.846	121.13294057	6.4575	4.95838	242.58	2
136	dfo	52.32899999999999	13.6238388	24.7065	12.02532	26.19	6
137	hydro	712.425	232.940004805	0.0	0.0	0.0	6
137	solar	11.759	0.0	0.0	0.0	0.0	2
138	hydro	57.66	13.270000274	0.0	0.0	0.0	6
138	solar	5.113	0.0	0.0	0.0	0.0	1
