3200.0	2581.0	2580.1	2580.1	2580.1			
2208.42	2396.03	2581.0					
3200.0	3200.0	2830.8	2830.8	2830.8			
2830.8							
2404.19	2569.22	2557.93	2830.8				
3200.0	3200.0	2852.9					
2852.9							
2531.17	2779.33	2852.9					
3200.0	3200.0	2680.0					
2680.0							
2680.0							
3200.0	3200.0	2797.6					
2797.6							
2509.28	2749.92	2797.6					
3200.0	3200.0						
2166.71							
							
3200.0	2975.3	2840.1	2840.1	2975.3			
2320.55	2501.83	2975.3					
3200.0	3200.0	2520.3					
2520.3							
2181.75	2520.3						
3200.0	2629.4	2617.9	2617.9	2629.4			
1988.71	2309.03	2629.4					
3200.0							
							
3200.0	2810.8						
2438.37	2775.57						
3200.0							
							
3200.0	3200.0						
							
							
3200.0							
2041.38							
3200.0							
							
							
3200.0	2350.71	2601.13	2846.4	2846.4			
2846.4							
2320.35	2316.57	2784.7	2784.7				
3200.0	3200.0	3023.8	2843.0	2843.0	3023.8		
2570.06	3009.53	2980.37	3023.8				
3023.8							
3200.0	3200.0	2749.1	2749.1				
2357.9	2749.1						
2749.1							
3200.0	2597.8	2597.8					
2364.73	2597.8						
3200.0							
2751.34							
3200.0	2832.3	2832.3	2832.3				
3158.92							
3200.0	2553.2	2357.0	2357.0	2357.0			
2544.09	2444.85						
3200.0	3200.0	3041.2	3041.2	2417.6	2417.6		
2332.49	2510.24	2334.51					
3041.2							
3200.0							
							
3200.0	3200.0						
							
							
3200.0	3200.0	2974.8					
2974.8							
2974.8							
3200.0							
							
3200.0	2339.5						
2339.5							
3200.0							
							
2465.6	2099.63	2837.1					
3200.0	2655.4						
2376.62	2655.4						
3200.0	3200.0	2401.4	2401.4				
							
							
3200.0							
							
3200.0	3200.0						
							
							
2114.07	2729.5						
							
3200.0							
							
3200.0							
							
3200.0	3200.0	2919.4					
2410.67	2518.72	2847.53					
2919.4							
3200.0							
							
3200.0	2754.7	2754.7					
2618.31	2754.7						
3200.0	2774.0						
2738.41	3154.54	2400.29	2774.0				
2685.46	2704.6						
3200.0	3200.0						
2946.6							
							
3200.0	2735.9	2703.3	2703.3				
2417.7	2640.77	2735.9					
3200.0	2729.83						
							
3200.0	2653.0	2900.3					
2900.3							
3200.0	3200.0	2888.1	2888.1				
2888.1							
2660.37	2622.23	2556.57	2888.1				
3200.0							
							
2576.66	2377.46	2849.6	2761.7	2761.7			
3200.0	3200.0						
							
							
3200.0	2652.96	2773.0					
2773.0							
2805.5							
3200.0	2612.2						
2612.2							
3200.0	3022.2						
2778.79	2099.57	2262.43	3022.2				
3200.0	3200.0	3003.5	2889.3	2889.3	2889.3	2762.7	2762.7
3003.5							
2579.01	2704.61	3003.5					
3200.0	3200.0						
2599.69							
							
3200.0	3200.0	2778.3	2778.3				
2825.81	2778.3						
2778.3							
3200.0	3033.9	3033.9	3033.9	2930.0	2930.0		
2702.71	2338.48	2018.71	3033.9				
3200.0							
							
3200.0							
							
3200.0	3200.0	2669.9					
2645.36	2669.9						
2669.9							
3200.0							
							
3200.0	3200.0						
							
							
							
3200.0	2497.42	2699.2					
							
3200.0							
							
3200.0	2721.0	2721.0	2721.0				
2348.19							
							
3200.0	2922.7	2922.7					
3089.64	2166.56	3167.1	2922.7				
3200.0	2611.9						
3190.89							
2823.82	2884.84	2511.47	2915.51	2875.9			
2625.06	2767.86	2894.2	2756.4	2756.4			
							
3200.0	2844.2	2844.2	2844.2				
2877.63							
3200.0	3200.0	3008.9	3008.9				
2938.53	2968.63	3008.9					
3008.9							
3200.0	3200.0	2749.9	2749.9				
2932.49							
							
3200.0							
2678.53							
3200.0	3200.0						
							
							
3045.81	3193.96	2901.5					
							
3200.0	3034.6	3034.6					
2580.01	2996.38	3034.6					
3200.0							
3176.5	3113.08						
3200.0							
							
3200.0	3200.0						
							
							
3200.0							
							
